City,Region,Country,AirQuality,WaterPollution
Naples," ""Campania""",Italy,28.846153846153843,55.319148936170215
Palermo," ""Sicily""",Italy,45.45454545454545,51.31578947368421
Parma," ""Emilia-Romagna""",Italy,34.375,56.81818181818181
Pescara," ""Abruzzo""",Italy,61.11111111111112,79.16666666666667
Bremerhaven," """"",Germany,75.0,50.0
Münster," ""North Rhine-Westphalia""",Germany,71.875,25.0
Augsburg," ""Bavaria""",Germany,73.52941176470588,26.923076923076923
Siena," ""Tuscany""",Italy,81.25,21.42857142857143
Gelsenkirchen," ""North Rhine-Westphalia""",Germany,62.5,50.0
Udine," ""Friuli-Venezia Giulia""",Italy,72.5,33.333333333333336
Chemnitz," ""Saxony""",Germany,87.5,50.0
Krefeld," ""North Rhine-Westphalia""",Germany,87.5,50.0
Madrid," ""Community of Madrid""",Spain,36.234177215189874,18.954248366013072
Halle (Saale)," ""Saxony-Anhalt""",Germany,75.0,0.0
Freiburg im Breisgau," ""Baden-Wurttemberg""",Germany,88.33333333333333,4.999999999999999
Oberhausen," ""North Rhine-Westphalia""",Germany,62.5,50.0
Lübeck," ""Schleswig-Holstein""",Germany,100.0,25.0
Rostock," ""Mecklenburg-Western Pomerania""",Germany,90.625,37.5
Kassel," ""Hesse""",Germany,75.0,50.0
Hagen," ""North Rhine-Westphalia""",Germany,100.0,50.0
Hamm," ""North Rhine-Westphalia""",Germany,87.5,50.0
Ludwigshafen," ""Rhineland-Palatinate""",Germany,75.0,0.0
Osnabrück," ""Lower Saxony""",Germany,82.14285714285714,0.0
Oldenburg," ""Lower Saxony""",Germany,75.0,18.75
Leverkusen," ""North Rhine-Westphalia""",Germany,83.33333333333333,50.0
Solingen," ""North Rhine-Westphalia""",Germany,87.5,50.0
Neuss," ""North Rhine-Westphalia""",Germany,50.0,75.0
Heidelberg," ""Baden-Wurttemberg""",Germany,89.28571428571428,25.0
Paderborn," ""North Rhine-Westphalia""",Germany,75.0,25.0
Darmstadt," ""Hesse""",Germany,71.875,27.500000000000004
Regensburg," ""Bavaria""",Germany,87.5,7.142857142857145
Ingolstadt," ""Bavaria""",Germany,100.0,0.0
Ulm," ""Baden-Wurttemberg""",Germany,88.88888888888889,9.999999999999998
Wolfsburg," ""Lower Saxony""",Germany,96.875,0.0
Offenbach am Main," ""Hesse""",Germany,75.0,50.0
Pforzheim," ""Baden-Wurttemberg""",Germany,85.0,25.0
Recklinghausen," ""North Rhine-Westphalia""",Germany,100.0,50.0
Bottrop," ""North Rhine-Westphalia""",Germany,80.0,0.0
Reutlingen," ""Baden-Wurttemberg""",Germany,85.0,25.0
Koblenz," ""Rhineland-Palatinate""",Germany,67.85714285714286,41.66666666666667
Erlangen," ""Bavaria""",Germany,81.25,29.166666666666664
Moers," ""North Rhine-Westphalia""",Germany,62.5,50.0
Trier," ""Rhineland-Palatinate""",Germany,85.71428571428572,25.0
Jena," ""Thuringia""",Germany,95.0,75.0
Siegen," ""North Rhine-Westphalia""",Germany,91.66666666666669,12.5
Hildesheim," ""Lower Saxony""",Germany,62.5,50.0
Salzgitter," ""Lower Saxony""",Germany,95.0,0.0
Cottbus," ""Brandenburg""",Germany,100.0,50.0
Zadar," ""Zadar County""",Croatia,100.0,8.333333333333332
Trento," ""Trentino-South Tyrol""",Italy,86.76470588235294,0.0
Ancona," ""Marche""",Italy,63.888888888888886,30.0
Perugia," ""Umbria""",Italy,70.0,50.0
L'Aquila," ""Abruzzo""",Italy,87.5,50.0
Bari," ""Apulia""",Italy,63.33333333333333,22.22222222222222
Sibenik," ""Sibenik-Knin County""",Croatia,100.0,0.0
Novy Jicin," """"",Czech Republic,62.5,50.0
Karlovac," """"",Croatia,75.0,25.0
Gera," ""Thuringia""",Germany,100.0,50.0
Kaiserslautern," ""Rhineland-Palatinate""",Germany,87.5,4.999999999999999
Zwickau," ""Saxony""",Germany,75.0,50.0
Flensburg," ""Schleswig-Holstein""",Germany,87.5,50.0
Tübingen," ""Baden-Wurttemberg""",Germany,89.28571428571428,8.333333333333332
Konstanz," ""Baden-Wurttemberg""",Germany,79.16666666666667,25.0
Minden," ""North Rhine-Westphalia""",Germany,100.0,50.0
Worms," ""Rhineland-Palatinate""",Germany,60.0,100.0
Wilhelmshaven," ""Lower Saxony""",Germany,100.0,50.0
Marburg," ""Hesse""",Germany,85.0,0.0
Catanzaro," ""Calabria""",Italy,87.5,50.0
Bayreuth," ""Bavaria""",Germany,75.0,0.0
Bamberg," ""Bavaria""",Germany,95.83333333333331,12.5
Aschaffenburg," ""Bavaria""",Germany,77.77777777777779,40.0
Aalen," ""Baden-Wurttemberg""",Germany,87.5,50.0
Fulda," ""Hesse""",Germany,87.5,50.0
Bergheim," ""North Rhine-Westphalia""",Germany,75.0,50.0
Liege," ""Wallonia""",Belgium,54.54545454545454,28.57142857142857
Wesel," ""North Rhine-Westphalia""",Germany,100.0,50.0
Frankfurt (Oder)," ""Brandenburg""",Germany,70.0,100.0
Friedrichshafen," ""Baden-Wurttemberg""",Germany,90.0,0.0
Neu-Ulm," ""Bavaria""",Germany,100.0,50.0
Schweinfurt," ""Bavaria""",Germany,87.5,62.5
Passau," ""Bavaria""",Germany,90.0,0.0
Pula," ""Istria County""",Croatia,88.63636363636364,27.27272727272727
Slavonski Brod," ""Brod-Posavina County""",Croatia,27.27272727272727,17.857142857142854
Rovinj," ""Istria County""",Croatia,100.0,25.0
Porec," ""Istria County""",Croatia,83.33333333333333,8.333333333333332
Varazdin," ""Varazdin County""",Croatia,91.66666666666669,33.333333333333336
Treviso," ""Veneto""",Italy,50.0,27.77777777777778
Koprivnica," ""Koprivnica-Krizevci County""",Croatia,100.0,0.0
Bjelovar," ""Bjelovar-Bilogora County""",Croatia,100.0,0.0
Toledo," ""Castile-La Mancha""",Spain,75.0,50.0
Vukovar," ""Vukovar-Syrmia County""",Croatia,25.0,75.0
Cuneo," ""Piedmont""",Italy,82.5,0.0
Hvar," ""Split-Dalmatia County""",Croatia,75.0,25.0
Novara," ""Piedmont""",Italy,65.0,0.0
Alessandria," ""Piedmont""",Italy,35.714285714285715,56.25
Asti," ""Piedmont""",Italy,62.5,50.0
Soest," ""North Rhine-Westphalia""",Germany,100.0,50.0
Brescia," ""Lombardy""",Italy,22.65625,70.53571428571428
Cremona," ""Lombardy""",Italy,50.0,50.0
Monza," ""Lombardy""",Italy,42.85714285714286,50.0
Varese," ""Lombardy""",Italy,50.0,33.333333333333336
Avignon," """"",France,57.14285714285714,66.66666666666666
Montpellier," """"",France,71.66666666666667,29.54545454545454
Varna," ""Varna Province""",Bulgaria,40.10416666666667,48.888888888888886
Burgas," ""Burgas Province""",Bulgaria,46.42857142857143,46.73913043478261
Vicenza," ""Veneto""",Italy,45.0,47.5
Orleans," """"",France,83.33333333333333,50.0
Gorizia," ""Friuli-Venezia Giulia""",Italy,90.0,25.0
Strasbourg," """"",France,68.0,47.36842105263158
Poitiers," """"",France,87.5,50.0
Perpignan," """"",France,95.0,50.0
Livorno," ""Tuscany""",Italy,55.55555555555556,62.5
Herzogenrath," ""North Rhine-Westphalia""",Germany,75.0,50.0
Hof," ""Bavaria""",Germany,75.0,50.0
Dijon," """"",France,87.5,12.5
Nordhausen," ""Thuringia""",Germany,100.0,50.0
Brühl," ""North Rhine-Westphalia""",Germany,75.0,50.0
Girona," ""Catalonia""",Spain,100.0,0.0
Amberg," ""Bavaria""",Germany,100.0,50.0
Bad Kreuznach," ""Rhineland-Palatinate""",Germany,100.0,50.0
Toulouse," """"",France,61.29032258064516,39.42307692307692
Valladolid," ""Castile and Leon""",Spain,70.0,41.66666666666667
Ostrava," """"",Czech Republic,28.846153846153843,25.0
Terni," ""Umbria""",Italy,42.5,50.0
Bilbao," ""Basque Autonomous Community""",Spain,70.0,26.315789473684216
Seville," ""Andalusia""",Spain,57.14285714285714,23.809523809523807
Vigo," ""Galicia""",Spain,86.45833333333333,21.250000000000004
Granada," ""Andalusia""",Spain,58.92857142857143,14.285714285714285
Valencia," ""Community of Valencia""",Spain,59.65909090909091,38.41463414634146
Palma," ""Balearic Islands""",Spain,75.0,36.66666666666667
Malaga," ""Andalusia""",Spain,75.0,30.55555555555556
Burgos," ""Castile and Leon""",Spain,100.0,33.333333333333336
Pamplona," ""Navarre""",Spain,100.0,0.0
Almeria," ""Andalusia""",Spain,75.0,43.75
Elche," ""Community of Valencia""",Spain,85.0,41.66666666666667
Montecchio," ""Umbria""",Italy,87.5,50.0
Lugo," ""Galicia""",Spain,100.0,50.0
Tulcea," ""Tulcea County""",Romania,80.0,29.166666666666664
Zvolen," ""Banska Bystrica Region""",Slovakia,87.5,50.0
Alicante," ""Community of Valencia""",Spain,80.68181818181819,40.625
Tychy," ""Silesian Voivodeship""",Poland,22.5,43.75
Nantes," """"",France,72.61904761904762,20.588235294117645
Brest," """"",France,79.54545454545455,35.714285714285715
Murcia," ""Region of Murcia""",Spain,68.18181818181819,32.14285714285714
Huelva," ""Andalusia""",Spain,40.0,50.0
Sabadell," ""Catalonia""",Spain,50.0,0.0
Gijon," ""Asturias""",Spain,50.0,25.0
Jerez de la Frontera," ""Andalusia""",Spain,67.85714285714286,25.0
Pontevedra," ""Galicia""",Spain,96.42857142857144,16.666666666666668
Lokeren," ""Flemish Region""",Belgium,75.0,50.0
Bruges," ""Flemish Region""",Belgium,82.5,30.0
Sint-Niklaas," ""Flemish Region""",Belgium,25.0,50.0
Macerata," ""Marche""",Italy,93.75,8.333333333333332
La Linea de la Concepcion," ""Andalusia""",Spain,37.5,75.0
Ronda," ""Andalusia""",Spain,100.0,0.0
Krk," ""Primorje-Gorski Kotar County""",Croatia,50.0,50.0
Graz," ""Styria""",Austria,53.333333333333336,21.15384615384616
Savona," ""Liguria""",Italy,66.66666666666666,62.5
Piacenza," ""Emilia-Romagna""",Italy,62.5,50.0
Ferrara," ""Emilia-Romagna""",Italy,39.285714285714285,50.0
Ravenna," ""Emilia-Romagna""",Italy,64.28571428571428,16.666666666666668
Forli," ""Emilia-Romagna""",Italy,58.333333333333336,100.0
Rimini," ""Emilia-Romagna""",Italy,75.0,62.5
Lucca," ""Tuscany""",Italy,66.66666666666666,37.5
Pisa," ""Tuscany""",Italy,53.125,37.5
Prato," ""Tuscany""",Italy,50.0,50.0
Lecce," ""Apulia""",Italy,71.66666666666667,47.72727272727273
Latina," ""Lazio""",Italy,70.83333333333334,62.5
Foggia," ""Apulia""",Italy,62.5,81.25
Barletta," ""Apulia""",Italy,65.0,75.0
Brindisi," ""Apulia""",Italy,35.0,58.333333333333336
Taranto," ""Apulia""",Italy,75.0,50.0
Sassari," ""Sardinia""",Italy,71.875,43.75
Olbia," ""Sardinia""",Italy,87.5,50.0
Messina," ""Sicily""",Italy,75.0,12.5
Syracuse," ""Sicily""",Italy,59.375,75.0
Agrigento," ""Sicily""",Italy,75.0,50.0
Tartu," ""Tartu County""",Estonia,92.5925925925926,11.956521739130432
Aviles," ""Asturias""",Spain,50.0,50.0
Kaufbeuren," ""Bavaria""",Germany,100.0,50.0
Coburg," ""Bavaria""",Germany,100.0,50.0
Ansbach," ""Bavaria""",Germany,80.0,25.0
Bensheim," ""Hesse""",Germany,87.5,50.0
Saarlouis," ""Saarland""",Germany,100.0,50.0
Bernburg," ""Saxony-Anhalt""",Germany,100.0,50.0
Backnang," ""Baden-Wurttemberg""",Germany,100.0,0.0
Brno," """"",Czech Republic,55.932203389830505,35.18518518518518
Tarragona," ""Catalonia""",Spain,50.0,45.0
Castello de la Plana," ""Community of Valencia""",Spain,87.5,25.0
Albacete," ""Castile-La Mancha""",Spain,75.0,12.5
Badalona," ""Catalonia""",Spain,87.5,50.0
Vilanova i la Geltru," ""Catalonia""",Spain,87.5,50.0
Caceres," ""Extremadura""",Spain,100.0,50.0
Badajoz," ""Extremadura""",Spain,96.875,43.75
Jaen," ""Andalusia""",Spain,75.0,37.5
Cadiz," ""Andalusia""",Spain,77.77777777777779,25.0
Salamanca," ""Castile and Leon""",Spain,96.42857142857144,25.0
Domzale," ""Municipality of Domzale""",Slovenia,50.0,0.0
Grosuplje," ""Municipality of Grosuplje""",Slovenia,100.0,0.0
Idrija," ""Municipality of Idrija""",Slovenia,75.0,25.0
Izola," ""Municipality of Izola""",Slovenia,90.0,9.999999999999998
Murska Sobota," ""City Municipality of Murska Sobota""",Slovenia,62.5,50.0
Ravne na Koroskem," ""Municipality of Ravne na Koroskem""",Slovenia,75.0,50.0
Slovenska Bistrica," ""Municipality of Slovenska Bistrica""",Slovenia,100.0,75.0
Slovenj Gradec," ""City Municipality of Slovenj Gradec""",Slovenia,75.0,0.0
Skofja Loka," ""Municipality of Skofja Loka""",Slovenia,100.0,0.0
Velenje," ""City Municipality of Velenje""",Slovenia,75.0,50.0
Zagorje ob Savi," ""Zagorje ob Savi Municipality""",Slovenia,62.5,50.0
Uelzen," ""Lower Saxony""",Germany,100.0,50.0
Schwedt/Oder," ""Brandenburg""",Germany,87.5,50.0
Esch-sur-Alzette," """"",Luxembourg,75.0,50.0
Deggendorf," ""Bavaria""",Germany,50.0,0.0
Ceske Budejovice," """"",Czech Republic,65.0,50.0
Thessaloniki," """"",Greece,39.523809523809526,47.5
Biella," ""Piedmont""",Italy,87.5,50.0
Bucharest," """"",Romania,23.50574712643678,55.0233644859813
Neustrelitz," ""Mecklenburg-Western Pomerania""",Germany,100.0,50.0
Skovde," ""Vastra Gotaland County""",Sweden,100.0,0.0
Landstuhl," ""Rhineland-Palatinate""",Germany,100.0,0.0
Marseille," """"",France,29.444444444444446,52.4390243902439
Valletta," """"",Malta,31.944444444444443,56.57894736842105
Bremen," """"",Germany,78.75,15.625
Uppsala," ""Uppsala County""",Sweden,88.54166666666667,7.8947368421052655
Gothenburg," ""Vastra Gotaland County""",Sweden,82.25806451612902,20.535714285714285
Raciborz," ""Silesian Voivodeship""",Poland,62.5,50.0
Kosice," ""Kosice Region""",Slovakia,52.38095238095239,35.29411764705882
Helsingborg," ""Skane County""",Sweden,31.25,35.0
Vasteras," ""Vastmanland County""",Sweden,80.76923076923077,16.666666666666668
Linkoping," ""Ostergotland County""",Sweden,85.0,0.0
Funchal," ""Madeira""",Portugal,84.09090909090908,31.944444444444443
Umea," ""Vasterbotten County""",Sweden,97.2222222222222,0.0
Orebro," ""Orebro County""",Sweden,87.5,12.5
Zilina," ""Zilina region""",Slovakia,55.00000000000001,31.25
Presov," ""Presov Region""",Slovakia,58.333333333333336,25.0
Trnava," ""Trnava Region""",Slovakia,60.71428571428571,0.0
Kalmar," ""Kalmar County""",Sweden,100.0,50.0
Poprad," ""Presov Region""",Slovakia,97.2222222222222,9.999999999999998
Nitra," ""Nitra Region""",Slovakia,75.0,50.0
Martin," ""Zilina region""",Slovakia,55.00000000000001,0.0
Molndal," ""Vastra Gotaland County""",Sweden,100.0,50.0
Ruzomberok," ""Zilina region""",Slovakia,45.0,50.0
Lahti," """"",Finland,90.90909090909092,14.285714285714285
Rouen," """"",France,47.72727272727273,57.14285714285714
Krakow," ""Lesser Poland Voivodeship""",Poland,12.198795180722891,36.53846153846154
Gandia," ""Community of Valencia""",Spain,100.0,50.0
Nice," """"",France,53.125,28.947368421052637
Salzburg," ""Salzburg""",Austria,82.6923076923077,38.88888888888889
Porto," """"",Portugal,68.44262295081968,34.583333333333336
Cork," """"",Ireland,83.33333333333333,28.125
Pardubice," """"",Czech Republic,50.0,41.66666666666667
Rauma," """"",Finland,100.0,0.0
Lublin," ""Lublin Voivodeship""",Poland,35.9375,41.66666666666667
Besancon," """"",France,87.5,37.5
Angers," """"",France,100.0,25.0
Turku," """"",Finland,90.0,11.666666666666664
Birkirkara," """"",Malta,17.857142857142854,64.28571428571428
Cannes," """"",France,75.0,25.0
Tampere," """"",Finland,86.60714285714286,13.541666666666668
Nancy," """"",France,47.22222222222222,35.0
Caen," """"",France,81.25,31.25
Bydgoszcz," ""Kuyavian-Pomeranian Voivodeship""",Poland,34.523809523809526,42.64705882352941
Linz," ""Upper Austria""",Austria,61.76470588235294,27.500000000000004
Amiens," """"",France,75.0,37.5
Klagenfurt," ""Carinthia""",Austria,71.42857142857143,16.666666666666668
Reims," """"",France,81.25,18.75
Szombathely," ""Vas County""",Hungary,100.0,50.0
Clermont-Ferrand," """"",France,80.55555555555556,15.000000000000002
Saint-Etienne," """"",France,90.0,0.0
Nimes," """"",France,75.0,50.0
Le Havre," """"",France,75.0,25.0
Plzen," """"",Czech Republic,65.0,42.85714285714286
Toulon," """"",France,60.0,41.66666666666667
Bugibba," """"",Malta,40.0,65.0
Viljandi," ""Viljandi County""",Estonia,100.0,37.5
Paide," ""Jarva County""",Estonia,100.0,0.0
Coimbra," ""Coimbra""",Portugal,82.35294117647058,41.17647058823529
Limoges," """"",France,100.0,0.0
Pecs," ""Baranya County""",Hungary,62.5,25.0
Dunkirk," """"",France,36.11111111111111,45.0
Suceava," ""Suceava County""",Romania,71.875,37.5
Alcala de Henares," ""Community of Madrid""",Spain,75.0,50.0
Espoo," ""Uusimaa""",Finland,95.45454545454544,19.444444444444443
Saint-Denis," ""Reunion""",France,75.0,50.0
Oulu," """"",Finland,86.95652173913044,12.5
Aix-en-Provence," """"",France,78.57142857142857,50.0
Torun," ""Kuyavian-Pomeranian Voivodeship""",Poland,37.5,42.85714285714286
Demmin," ""Mecklenburg-Western Pomerania""",Germany,100.0,50.0
Gniezno," ""Greater Poland Voivodeship""",Poland,50.0,0.0
Kalisz," ""Greater Poland Voivodeship""",Poland,50.0,50.0
Konin," ""Greater Poland Voivodeship""",Poland,25.0,25.0
Leszno," ""Greater Poland Voivodeship""",Poland,75.0,50.0
Faenza," ""Emilia-Romagna""",Italy,75.0,50.0
Nykoping," ""Sodermanland County""",Sweden,100.0,50.0
Visby," ""Gotland County""",Sweden,75.0,0.0
Fuenlabrada," ""Community of Madrid""",Spain,87.5,100.0
Annaberg-Buchholz," ""Saxony""",Germany,87.5,50.0
Zalaegerszeg," ""Zala County""",Hungary,0.0,100.0
Koszalin," ""West Pomeranian Voivodeship""",Poland,55.00000000000001,50.0
Glogow," ""Lower Silesian Voivodeship""",Poland,50.0,50.0
Kluczbork," ""Opole Voivodeship""",Poland,50.0,50.0
Mulhouse," """"",France,87.5,25.0
Debrecen," ""Hajdu-Bihar County""",Hungary,56.57894736842105,20.83333333333333
Daugavpils," """"",Latvia,50.0,37.5
Charleroi," ""Wallonia""",Belgium,50.0,60.0
Olomouc," """"",Czech Republic,66.66666666666666,20.0
Szeged," ""Csongrad-Csanad County""",Hungary,69.44444444444444,25.0
La Rochelle," """"",France,90.0,0.0
Olsztyn," ""Warmian-Masurian Voivodeship""",Poland,42.70833333333333,43.75
Sibiu," ""Sibiu County""",Romania,77.63157894736842,21.666666666666668
Mons," ""Wallonia""",Belgium,80.0,50.0
Saue," ""Harju County""",Estonia,100.0,0.0
Opole," ""Opole Voivodeship""",Poland,37.5,45.45454545454545
Sopot," ""Pomeranian Voivodeship""",Poland,45.45454545454545,53.57142857142857
Chrzanow," ""Lesser Poland Voivodeship""",Poland,37.5,50.0
Oradea," """"",Romania,65.47619047619048,26.666666666666668
Ourense," ""Galicia""",Spain,100.0,33.333333333333336
Cluj-Napoca," ""Cluj County""",Romania,57.11206896551724,33.409090909090914
Narva," ""Ida-Viru County""",Estonia,75.0,66.66666666666666
Kielce," ""Swietokrzyskie Voivodeship""",Poland,50.0,50.0
Bytom," ""Silesian Voivodeship""",Poland,35.0,75.0
Parnu," ""Parnu County""",Estonia,75.0,25.0
Miskolc," ""Borsod-Abauj-Zemplen County""",Hungary,44.44444444444444,15.000000000000002
Corinth," ""Peloponnese Region""",Greece,87.5,50.0
Czestochowa," ""Silesian Voivodeship""",Poland,45.83333333333333,12.5
Rovaniemi," """"",Finland,100.0,15.000000000000002
Zabrze," ""Silesian Voivodeship""",Poland,15.625,37.5
Ventspils," """"",Latvia,92.85714285714286,8.333333333333332
Chorzow," ""Silesian Voivodeship""",Poland,25.0,50.0
Zgierz," ""Lodz Voivodeship""",Poland,75.0,50.0
Elblag," ""Warmian-Masurian Voivodeship""",Poland,54.16666666666666,50.0
Zielona Gora," ""Lubusz Voivodeship""",Poland,75.0,12.5
Plock," ""Masovian Voivodeship""",Poland,33.333333333333336,45.0
Gorzow Wielkopolski," ""Lubusz Voivodeship""",Poland,55.00000000000001,75.0
Radom," ""Masovian Voivodeship""",Poland,40.0,50.0
Slupsk," ""Pomeranian Voivodeship""",Poland,87.5,50.0
Sosnowiec," ""Silesian Voivodeship""",Poland,17.857142857142854,25.0
Gliwice," ""Silesian Voivodeship""",Poland,19.11764705882353,59.61538461538461
Legnica," ""Lower Silesian Voivodeship""",Poland,50.0,50.0
Tarnow," ""Lesser Poland Voivodeship""",Poland,37.5,50.0
Wloclawek," ""Kuyavian-Pomeranian Voivodeship""",Poland,45.0,75.0
Rybnik," ""Silesian Voivodeship""",Poland,13.88888888888889,41.66666666666667
Valmiera," """"",Latvia,100.0,50.0
Dabrowa Gornicza," ""Silesian Voivodeship""",Poland,33.333333333333336,25.0
Kilkenny," ""Leinster""",Ireland,75.0,75.0
Kolobrzeg," ""West Pomeranian Voivodeship""",Poland,100.0,0.0
Walbrzych," ""Lower Silesian Voivodeship""",Poland,36.11111111111111,60.0
Viseu," ""Viseu""",Portugal,79.16666666666667,37.5
Leuven," ""Flemish Region""",Belgium,56.25,37.5
Grudziadz," ""Kuyavian-Pomeranian Voivodeship""",Poland,45.0,0.0
