DATAFLOW,LAST UPDATE,freq,unit,airpol,src_nfr,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Particulates < 10µm,National total for the entire territory (based on fuel sold),European Union - 27 countries (from 2020),1990,4060647,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Particulates < 10µm,National total for the entire territory (based on fuel sold),European Union - 27 countries (from 2020),1991,4034639,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Particulates < 10µm,National total for the entire territory (based on fuel sold),European Union - 27 countries (from 2020),1992,3728332,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Particulates < 10µm,National total for the entire territory (based on fuel sold),European Union - 27 countries (from 2020),1993,3716474,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Particulates < 10µm,National total for the entire territory (based on fuel sold),European Union - 27 countries (from 2020),1994,3505846,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Particulates < 10µm,National total for the entire territory (based on fuel sold),European Union - 27 countries (from 2020),1995,3548157,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Particulates < 10µm,National total for the entire territory (based on fuel sold),European Union - 27 countries (from 2020),1996,3570864,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Particulates < 10µm,National total for the entire territory (based on fuel sold),European Union - 27 countries (from 2020),1997,3404338,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Particulates < 10µm,National total for the entire territory (based on fuel sold),European Union - 27 countries (from 2020),1998,3308688,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Particulates < 10µm,National total for the entire territory (based on fuel sold),European Union - 27 countries (from 2020),1999,3149159,
