DATAFLOW,LAST UPDATE,freq,unit,airpol,src_nfr,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Particulates < 10µm,National total for the entire territory (based on fuel sold),Hungary,1990,82339,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Particulates < 10µm,National total for the entire territory (based on fuel sold),Hungary,1991,80781,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Particulates < 10µm,National total for the entire territory (based on fuel sold),Hungary,1992,79224,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Particulates < 10µm,National total for the entire territory (based on fuel sold),Hungary,1993,77666,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Particulates < 10µm,National total for the entire territory (based on fuel sold),Hungary,1994,76109,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Particulates < 10µm,National total for the entire territory (based on fuel sold),Hungary,1995,74528,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Particulates < 10µm,National total for the entire territory (based on fuel sold),Hungary,1996,72892,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Particulates < 10µm,National total for the entire territory (based on fuel sold),Hungary,1997,71256,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Particulates < 10µm,National total for the entire territory (based on fuel sold),Hungary,1998,69620,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Particulates < 10µm,National total for the entire territory (based on fuel sold),Hungary,1999,70378,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Particulates < 10µm,National total for the entire territory (based on fuel sold),Hungary,2000,72555,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Particulates < 10µm,National total for the entire territory (based on fuel sold),Hungary,2001,78354,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Particulates < 10µm,National total for the entire territory (based on fuel sold),Hungary,2002,61416,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Particulates < 10µm,National total for the entire territory (based on fuel sold),Hungary,2003,73047,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Particulates < 10µm,National total for the entire territory (based on fuel sold),Hungary,2004,74873,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Particulates < 10µm,National total for the entire territory (based on fuel sold),Hungary,2005,72320,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Particulates < 10µm,National total for the entire territory (based on fuel sold),Hungary,2006,64026,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Particulates < 10µm,National total for the entire territory (based on fuel sold),Hungary,2007,61938,
