DATAFLOW,LAST UPDATE,freq,unit,airpol,src_nfr,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Nitrogen oxides,National total for the entire territory (based on fuel sold),European Union - 27 countries (from 2020),1990,15101668,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Nitrogen oxides,National total for the entire territory (based on fuel sold),European Union - 27 countries (from 2020),1991,14806670,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Nitrogen oxides,National total for the entire territory (based on fuel sold),European Union - 27 countries (from 2020),1992,14443381,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Nitrogen oxides,National total for the entire territory (based on fuel sold),European Union - 27 countries (from 2020),1993,13812426,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Nitrogen oxides,National total for the entire territory (based on fuel sold),European Union - 27 countries (from 2020),1994,13349081,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Nitrogen oxides,National total for the entire territory (based on fuel sold),European Union - 27 countries (from 2020),1995,13059235,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Nitrogen oxides,National total for the entire territory (based on fuel sold),European Union - 27 countries (from 2020),1996,12957569,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Nitrogen oxides,National total for the entire territory (based on fuel sold),European Union - 27 countries (from 2020),1997,12537148,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Nitrogen oxides,National total for the entire territory (based on fuel sold),European Union - 27 countries (from 2020),1998,12241816,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Nitrogen oxides,National total for the entire territory (based on fuel sold),European Union - 27 countries (from 2020),1999,11876922,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Nitrogen oxides,National total for the entire territory (based on fuel sold),European Union - 27 countries (from 2020),2000,11506931,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Nitrogen oxides,National total for the entire territory (based on fuel sold),European Union - 27 countries (from 2020),2001,11336246,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Nitrogen oxides,National total for the entire territory (based on fuel sold),European Union - 27 countries (from 2020),2002,11127147,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Nitrogen oxides,National total for the entire territory (based on fuel sold),European Union - 27 countries (from 2020),2003,11018754,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Nitrogen oxides,National total for the entire territory (based on fuel sold),European Union - 27 countries (from 2020),2004,10885031,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Nitrogen oxides,National total for the entire territory (based on fuel sold),European Union - 27 countries (from 2020),2005,10709928,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Nitrogen oxides,National total for the entire territory (based on fuel sold),European Union - 27 countries (from 2020),2006,10510508,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Nitrogen oxides,National total for the entire territory (based on fuel sold),European Union - 27 countries (from 2020),2007,10186625,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Nitrogen oxides,National total for the entire territory (based on fuel sold),European Union - 27 countries (from 2020),2008,9552261,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Nitrogen oxides,National total for the entire territory (based on fuel sold),European Union - 27 countries (from 2020),2009,8796116,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Nitrogen oxides,National total for the entire territory (based on fuel sold),European Union - 27 countries (from 2020),2010,8607291,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Nitrogen oxides,National total for the entire territory (based on fuel sold),European Union - 27 countries (from 2020),2011,8320270,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Nitrogen oxides,National total for the entire territory (based on fuel sold),European Union - 27 countries (from 2020),2012,7979831,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Nitrogen oxides,National total for the entire territory (based on fuel sold),European Union - 27 countries (from 2020),2013,7647292,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Nitrogen oxides,National total for the entire territory (based on fuel sold),European Union - 27 countries (from 2020),2014,7356445,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Nitrogen oxides,National total for the entire territory (based on fuel sold),European Union - 27 countries (from 2020),2015,7229436,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Nitrogen oxides,National total for the entire territory (based on fuel sold),European Union - 27 countries (from 2020),2016,6989181,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Nitrogen oxides,National total for the entire territory (based on fuel sold),European Union - 27 countries (from 2020),2017,6825500,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Nitrogen oxides,National total for the entire territory (based on fuel sold),European Union - 27 countries (from 2020),2018,6607264,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Nitrogen oxides,National total for the entire territory (based on fuel sold),European Union - 27 countries (from 2020),2019,6219906,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Nitrogen oxides,National total for the entire territory (based on fuel sold),European Union - 27 countries (from 2020),2020,5554056,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Nitrogen oxides,National total for the entire territory (based on fuel sold),European Union - 27 countries (from 2020),2021,5596110,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Nitrogen oxides,National total for the entire territory (based on fuel sold),European Union - 27 countries (from 2020),2022,5394735,
