DATAFLOW,LAST UPDATE,freq,unit,airpol,src_nfr,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),European Union - 27 countries (from 2020),1990,5065436,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),European Union - 27 countries (from 2020),1991,4808246,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),European Union - 27 countries (from 2020),1992,4559061,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),European Union - 27 countries (from 2020),1993,4415075,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),European Union - 27 countries (from 2020),1994,4311555,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),European Union - 27 countries (from 2020),1995,4246572,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),European Union - 27 countries (from 2020),1996,4282339,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),European Union - 27 countries (from 2020),1997,4263938,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),European Union - 27 countries (from 2020),1998,4269898,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),European Union - 27 countries (from 2020),1999,4236639,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),European Union - 27 countries (from 2020),2000,4163270,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),European Union - 27 countries (from 2020),2001,4134159,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),European Union - 27 countries (from 2020),2002,4077026,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),European Union - 27 countries (from 2020),2003,4025801,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),European Union - 27 countries (from 2020),2004,3962372,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),European Union - 27 countries (from 2020),2005,3906400,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),European Union - 27 countries (from 2020),2006,3884644,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),European Union - 27 countries (from 2020),2007,3893990,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),European Union - 27 countries (from 2020),2008,3800648,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),European Union - 27 countries (from 2020),2009,3714850,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),European Union - 27 countries (from 2020),2010,3673600,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),European Union - 27 countries (from 2020),2011,3648612,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),European Union - 27 countries (from 2020),2012,3639914,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),European Union - 27 countries (from 2020),2013,3618771,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),European Union - 27 countries (from 2020),2014,3639220,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),European Union - 27 countries (from 2020),2015,3667187,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),European Union - 27 countries (from 2020),2016,3690175,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),European Union - 27 countries (from 2020),2017,3686216,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),European Union - 27 countries (from 2020),2018,3640709,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),European Union - 27 countries (from 2020),2019,3542942,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),European Union - 27 countries (from 2020),2020,3501987,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),European Union - 27 countries (from 2020),2021,3428850,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Ammonia,National total for the entire territory (based on fuel sold),European Union - 27 countries (from 2020),2022,3273560,
