DATAFLOW,LAST UPDATE,freq,unit,airpol,src_nfr,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,National total for the entire territory (based on fuel sold),Hungary,1990,1415580,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,National total for the entire territory (based on fuel sold),Hungary,1991,1331380,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,National total for the entire territory (based on fuel sold),Hungary,1992,1056260,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,National total for the entire territory (based on fuel sold),Hungary,1993,1098700,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,National total for the entire territory (based on fuel sold),Hungary,1994,1010670,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,National total for the entire territory (based on fuel sold),Hungary,1995,981377,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,National total for the entire territory (based on fuel sold),Hungary,1996,955575,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,National total for the entire territory (based on fuel sold),Hungary,1997,902722,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,National total for the entire territory (based on fuel sold),Hungary,1998,835637,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,National total for the entire territory (based on fuel sold),Hungary,1999,821056,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,National total for the entire territory (based on fuel sold),Hungary,2000,856715,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,National total for the entire territory (based on fuel sold),Hungary,2001,864686,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,National total for the entire territory (based on fuel sold),Hungary,2002,715835,
ESTAT:ENV_AIR_EMIS(1.0),27/09/24 23:00:00,Annual,Tonne,Carbon monoxide,National total for the entire territory (based on fuel sold),Hungary,2003,841670,
