DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,EL,2018,102.4,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,ES,2006,100.0,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,ES,2009,101.3,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,ES,2012,103.6,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,ES,2015,104.2,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,ES,2018,104.9,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,EU27_2020,2006,100.0,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,EU27_2020,2009,101.0,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,EU27_2020,2012,102.1,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,EU27_2020,2015,102.6,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,EU27_2020,2018,103.4,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,FI,2006,100.0,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,FI,2009,100.9,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,FI,2012,101.3,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,FI,2015,101.7,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,FI,2018,102.6,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,FR,2006,100.0,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,FR,2009,100.9,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,FR,2012,102.3,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,FR,2015,102.8,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,FR,2018,103.5,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,HR,2006,100.0,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,HR,2009,100.5,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,HR,2012,101.4,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,HR,2015,101.9,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,HR,2018,103.1,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,HU,2006,100.0,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,HU,2009,101.1,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,HU,2012,102.0,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,HU,2015,102.7,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,HU,2018,103.4,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,IE,2006,100.0,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,IE,2009,100.9,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,IE,2012,102.0,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,IE,2015,102.1,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,I06,IE,2018,104.4,
