eu_sdg,dimension,dimension_label,unit,unit_label,geo,geo_label,time,obs_value,obs_status
14_40,CST,Number of bathing sites i. coastal water,NR,Number,BG,Bulgaria,2008,89,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,BG,Bulgaria,2009,89,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,BG,Bulgaria,2010,90,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,BG,Bulgaria,2011,89,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,BG,Bulgaria,2012,89,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,BG,Bulgaria,2013,90,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,BG,Bulgaria,2014,90,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,BG,Bulgaria,2015,90,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,BG,Bulgaria,2016,90,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,BG,Bulgaria,2017,91,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,BG,Bulgaria,2018,91,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,BG,Bulgaria,2019,91,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,BG,Bulgaria,2020,92,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,BG,Bulgaria,2021,92,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,BG,Bulgaria,2022,92,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,BG,Bulgaria,2023,92,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,CZ,Czechia,2000,,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,CZ,Czechia,2001,,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,CZ,Czechia,2002,,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,CZ,Czechia,2003,,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,CZ,Czechia,2004,,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,CZ,Czechia,2005,,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,CZ,Czechia,2006,,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,CZ,Czechia,2007,,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,CZ,Czechia,2008,,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,CZ,Czechia,2009,,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,CZ,Czechia,2010,,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,CZ,Czechia,2011,,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,CZ,Czechia,2012,,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,CZ,Czechia,2013,,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,CZ,Czechia,2014,,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,CZ,Czechia,2015,,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,CZ,Czechia,2016,,
