eu_sdg,dimension,dimension_label,unit,unit_label,geo,geo_label,time,obs_value,obs_status
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,BE,Belgium,2018,82.2,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,BE,Belgium,2019,78.1,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,BE,Belgium,2020,74,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,BE,Belgium,2021,71.6,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,BE,Belgium,2022,72.4,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,BE,Belgium,2023,68.5,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,BG,Bulgaria,2000,,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,BG,Bulgaria,2001,,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,BG,Bulgaria,2002,,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,BG,Bulgaria,2003,,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,BG,Bulgaria,2004,,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,BG,Bulgaria,2005,,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,BG,Bulgaria,2006,,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,BG,Bulgaria,2007,100,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,BG,Bulgaria,2008,50,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,BG,Bulgaria,2009,75,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,BG,Bulgaria,2010,100,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,BG,Bulgaria,2011,25,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,BG,Bulgaria,2012,100,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,BG,Bulgaria,2013,75,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,BG,Bulgaria,2014,100,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,BG,Bulgaria,2015,100,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,BG,Bulgaria,2016,100,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,BG,Bulgaria,2017,25,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,BG,Bulgaria,2018,25,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,BG,Bulgaria,2019,25,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,BG,Bulgaria,2020,0,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,BG,Bulgaria,2021,100,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,BG,Bulgaria,2022,100,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,BG,Bulgaria,2023,100,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,CZ,Czechia,2000,,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,CZ,Czechia,2001,,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,CZ,Czechia,2002,,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,CZ,Czechia,2003,,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,CZ,Czechia,2004,36.1,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,CZ,Czechia,2005,43,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,CZ,Czechia,2006,53.2,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,CZ,Czechia,2007,54.3,
14_40,INL_EXC,Percentage of bathing sites - excellent quality ii. inland water,PC,Percentage,CZ,Czechia,2008,51.6,
