eu_sdg,dimension,dimension_label,unit,unit_label,geo,geo_label,time,obs_value,obs_status
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,BE,Belgium,2017,95.2,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,BE,Belgium,2018,97.6,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,BE,Belgium,2019,97.6,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,BE,Belgium,2020,95.1,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,BE,Belgium,2021,92.7,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,BE,Belgium,2022,85.4,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,BE,Belgium,2023,65.9,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,BG,Bulgaria,2000,,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,BG,Bulgaria,2001,,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,BG,Bulgaria,2002,,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,BG,Bulgaria,2003,,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,BG,Bulgaria,2004,,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,BG,Bulgaria,2005,,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,BG,Bulgaria,2006,,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,BG,Bulgaria,2007,76.4,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,BG,Bulgaria,2008,78.7,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,BG,Bulgaria,2009,91,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,BG,Bulgaria,2010,84.4,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,BG,Bulgaria,2011,50.6,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,BG,Bulgaria,2012,61.8,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,BG,Bulgaria,2013,65.6,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,BG,Bulgaria,2014,72.2,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,BG,Bulgaria,2015,70,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,BG,Bulgaria,2016,63.3,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,BG,Bulgaria,2017,45.1,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,BG,Bulgaria,2018,53.9,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,BG,Bulgaria,2019,67,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,BG,Bulgaria,2020,63,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,BG,Bulgaria,2021,89.1,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,BG,Bulgaria,2022,92.4,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,BG,Bulgaria,2023,94.6,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,CZ,Czechia,2000,,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,CZ,Czechia,2001,,
14_40,CST_EXC,Percentage of bathing sites - excellent quality i. coastal water,PC,Percentage,CZ,Czechia,2002,,
