DATAFLOW,LAST UPDATE,freq,indic_env,hazard,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Chronic environmental hazard,Million tonnes,European Union - 27 countries (from 2020),2015,0,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Chronic environmental hazard,Million tonnes,European Union - 27 countries (from 2020),2016,0,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Chronic environmental hazard,Million tonnes,European Union - 27 countries (from 2020),2017,0,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Chronic environmental hazard,Million tonnes,European Union - 27 countries (from 2020),2018,0,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Chronic environmental hazard,Million tonnes,European Union - 27 countries (from 2020),2019,0,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Chronic environmental hazard,Million tonnes,European Union - 27 countries (from 2020),2020,0,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Chronic environmental hazard,Million tonnes,European Union - 27 countries (from 2020),2021,0,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Chronic environmental hazard,Million tonnes,European Union - 27 countries (from 2020),2022,0,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Chronic environmental hazard,Million tonnes,European Union - 27 countries (from 2020),2023,0,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Moderate chronic environmental hazard,Million tonnes,European Union - 27 countries (from 2020),2004,31.5,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Moderate chronic environmental hazard,Million tonnes,European Union - 27 countries (from 2020),2005,30,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Moderate chronic environmental hazard,Million tonnes,European Union - 27 countries (from 2020),2006,30,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Moderate chronic environmental hazard,Million tonnes,European Union - 27 countries (from 2020),2007,31.6,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Moderate chronic environmental hazard,Million tonnes,European Union - 27 countries (from 2020),2008,28.2,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Moderate chronic environmental hazard,Million tonnes,European Union - 27 countries (from 2020),2009,25.8,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Moderate chronic environmental hazard,Million tonnes,European Union - 27 countries (from 2020),2010,27.8,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Moderate chronic environmental hazard,Million tonnes,European Union - 27 countries (from 2020),2011,28.4,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Moderate chronic environmental hazard,Million tonnes,European Union - 27 countries (from 2020),2012,27.5,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Moderate chronic environmental hazard,Million tonnes,European Union - 27 countries (from 2020),2013,28.2,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Moderate chronic environmental hazard,Million tonnes,European Union - 27 countries (from 2020),2014,26.2,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Moderate chronic environmental hazard,Million tonnes,European Union - 27 countries (from 2020),2015,25,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Moderate chronic environmental hazard,Million tonnes,European Union - 27 countries (from 2020),2016,24.8,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Moderate chronic environmental hazard,Million tonnes,European Union - 27 countries (from 2020),2017,28.6,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Moderate chronic environmental hazard,Million tonnes,European Union - 27 countries (from 2020),2018,26.6,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Moderate chronic environmental hazard,Million tonnes,European Union - 27 countries (from 2020),2019,26.4,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Moderate chronic environmental hazard,Million tonnes,European Union - 27 countries (from 2020),2020,25.5,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Moderate chronic environmental hazard,Million tonnes,European Union - 27 countries (from 2020),2021,27.8,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Moderate chronic environmental hazard,Million tonnes,European Union - 27 countries (from 2020),2022,23.3,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Moderate chronic environmental hazard,Million tonnes,European Union - 27 countries (from 2020),2023,18.3,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Severe chronic environmental hazard,Million tonnes,European Union - 27 countries (from 2020),2004,16.1,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Severe chronic environmental hazard,Million tonnes,European Union - 27 countries (from 2020),2005,16.6,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Severe chronic environmental hazard,Million tonnes,European Union - 27 countries (from 2020),2006,16.4,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Severe chronic environmental hazard,Million tonnes,European Union - 27 countries (from 2020),2007,16.7,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Severe chronic environmental hazard,Million tonnes,European Union - 27 countries (from 2020),2008,16.4,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Severe chronic environmental hazard,Million tonnes,European Union - 27 countries (from 2020),2009,17.1,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Severe chronic environmental hazard,Million tonnes,European Union - 27 countries (from 2020),2010,18.8,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Severe chronic environmental hazard,Million tonnes,European Union - 27 countries (from 2020),2011,20.3,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Severe chronic environmental hazard,Million tonnes,European Union - 27 countries (from 2020),2012,18.5,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Severe chronic environmental hazard,Million tonnes,European Union - 27 countries (from 2020),2013,19.1,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Severe chronic environmental hazard,Million tonnes,European Union - 27 countries (from 2020),2014,19,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Severe chronic environmental hazard,Million tonnes,European Union - 27 countries (from 2020),2015,17.1,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Severe chronic environmental hazard,Million tonnes,European Union - 27 countries (from 2020),2016,12.6,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Severe chronic environmental hazard,Million tonnes,European Union - 27 countries (from 2020),2017,6.8,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Severe chronic environmental hazard,Million tonnes,European Union - 27 countries (from 2020),2018,11.4,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Severe chronic environmental hazard,Million tonnes,European Union - 27 countries (from 2020),2019,15.2,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Severe chronic environmental hazard,Million tonnes,European Union - 27 countries (from 2020),2020,17.3,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Severe chronic environmental hazard,Million tonnes,European Union - 27 countries (from 2020),2021,22.5,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Severe chronic environmental hazard,Million tonnes,European Union - 27 countries (from 2020),2022,14,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Severe chronic environmental hazard,Million tonnes,European Union - 27 countries (from 2020),2023,12.3,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Significant acute environmental hazard,Million tonnes,European Union - 27 countries (from 2020),2004,10.4,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Significant acute environmental hazard,Million tonnes,European Union - 27 countries (from 2020),2005,11.5,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Significant acute environmental hazard,Million tonnes,European Union - 27 countries (from 2020),2006,11,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Significant acute environmental hazard,Million tonnes,European Union - 27 countries (from 2020),2007,11.8,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Significant acute environmental hazard,Million tonnes,European Union - 27 countries (from 2020),2008,9.8,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Significant acute environmental hazard,Million tonnes,European Union - 27 countries (from 2020),2009,8.2,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Significant acute environmental hazard,Million tonnes,European Union - 27 countries (from 2020),2010,9,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Consumption of chemicals,Significant acute environmental hazard,Million tonnes,European Union - 27 countries (from 2020),2011,8.2,
