DATAFLOW,LAST UPDATE,freq,indic_env,hazard,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Production of chemicals,Hazardous to the environment,Million tonnes,European Union - 27 countries (from 2020),2004,83.5,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Production of chemicals,Hazardous to the environment,Million tonnes,European Union - 27 countries (from 2020),2005,88.7,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Production of chemicals,Hazardous to the environment,Million tonnes,European Union - 27 countries (from 2020),2006,86.8,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Production of chemicals,Hazardous to the environment,Million tonnes,European Union - 27 countries (from 2020),2007,89.7,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Production of chemicals,Hazardous to the environment,Million tonnes,European Union - 27 countries (from 2020),2008,91.7,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Production of chemicals,Hazardous to the environment,Million tonnes,European Union - 27 countries (from 2020),2009,76.7,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Production of chemicals,Hazardous to the environment,Million tonnes,European Union - 27 countries (from 2020),2010,86,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Production of chemicals,Hazardous to the environment,Million tonnes,European Union - 27 countries (from 2020),2011,83.8,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Production of chemicals,Hazardous to the environment,Million tonnes,European Union - 27 countries (from 2020),2012,80.1,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Production of chemicals,Hazardous to the environment,Million tonnes,European Union - 27 countries (from 2020),2013,79.8,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Production of chemicals,Hazardous to the environment,Million tonnes,European Union - 27 countries (from 2020),2014,78.4,
ESTAT:ENV_CHMHAZ(1.0),12/12/24 23:00:00,Annual,Production of chemicals,Hazardous to the environment,Million tonnes,European Union - 27 countries (from 2020),2015,75.9,
